2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA060426.csv (210.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA070426.csv (208.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA080426.csv (212.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA090426.csv (208.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA100426.csv (210.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA130426.csv (209.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA150426.csv (211.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA160426.csv (209.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA170426.csv (211.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA180326.csv (209.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA200426.csv (215.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA210426.csv (215.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA220426.csv (213.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA230326.csv (215.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA230426.csv (213.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA240326.csv (212.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA240426.csv (213.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA250326.csv (212.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA270326.csv (213.8 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA270426.csv (216.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA280426.csv (212.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA290426.csv (213.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-22-Apr-2026 (1).csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-22-Apr-2026 (2).csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-22-Apr-2026.csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-23-Apr-2026.csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-24-Apr-2026.csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-27-Apr-2026.csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-28-Apr-2026 (1).csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-28-Apr-2026.csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-CAPITAL-MARKETS-29-Apr-2026.csv (2.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-INDIA-MANUFACTURING-22-Apr-2026 (1).csv (10.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-INDIA-MANUFACTURING-22-Apr-2026.csv (10.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-INDIA-MANUFACTURING-23-Apr-2026.csv (10.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-INDIA-MANUFACTURING-24-Apr-2026.csv (10.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-INDIA-MANUFACTURING-27-Apr-2026.csv (10.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-INDIA-MANUFACTURING-28-Apr-2026.csv (10.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-INDIA-MANUFACTURING-29-Apr-2026.csv (10.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-FINANCIAL-SERVICES-21-Apr-2026.csv (4.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-FINANCIAL-SERVICES-22-Apr-2026.csv (4.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-FINANCIAL-SERVICES-23-Apr-2026.csv (4.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-FINANCIAL-SERVICES-24-Apr-2026.csv (4.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-FINANCIAL-SERVICES-27-Apr-2026.csv (4.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-FINANCIAL-SERVICES-28-Apr-2026.csv (4.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-FINANCIAL-SERVICES-29-Apr-2026.csv (4.3 KB)
