2026-05-05 22:46:50 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:50 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:50 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:50 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:50 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:50 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:50 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:50 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:50 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:50 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:50 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:50 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:50 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:51 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 150 rows
2026-05-05 22:46:51 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:51 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
