2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_18032026.csv (351.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_19032026.csv (348.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20032026.csv (351.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026 (1).csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026 (2).csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026 (3).csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026.csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_21042026.csv (361.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (1).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (2).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (3).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (4).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026.csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_23032026.csv (357.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_23042026.csv (360.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_24032026.csv (354.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_24042026.csv (360.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_25032026.csv (355.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_27032026.csv (358.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_27042026.csv (362.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_28042026.csv (358.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_29042026.csv (358.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_30032026.csv (359.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA010426.csv (209.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA020426.csv (208.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA060426.csv (210.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA070426.csv (208.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA080426.csv (212.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA090426.csv (208.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA100426.csv (210.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA130426.csv (209.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA150426.csv (211.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA160426.csv (209.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA170426.csv (211.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA180326.csv (209.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA200426.csv (215.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA210426.csv (215.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA220426.csv (213.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA230326.csv (215.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA230426.csv (213.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA240326.csv (212.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA240426.csv (213.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA250326.csv (212.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA270326.csv (213.8 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA270426.csv (216.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
